"Series";"Time";"Value"
"liveness-http on minikube";"2020-05-19 21:15:10";null
"liveness-http on minikube";"2020-05-19 21:15:15";null
"liveness-http on minikube";"2020-05-19 21:15:20";null
"liveness-http on minikube";"2020-05-19 21:15:25";null
"liveness-http on minikube";"2020-05-19 21:15:30";null
"liveness-http on minikube";"2020-05-19 21:15:35";null
"liveness-http on minikube";"2020-05-19 21:15:40";null
"liveness-http on minikube";"2020-05-19 21:15:45";null
"liveness-http on minikube";"2020-05-19 21:15:50";null
"liveness-http on minikube";"2020-05-19 21:15:55";null
"liveness-http on minikube";"2020-05-19 21:16:00";null
"liveness-http on minikube";"2020-05-19 21:16:05";null
"liveness-http on minikube";"2020-05-19 21:16:10";null
"liveness-http on minikube";"2020-05-19 21:16:15";null
"liveness-http on minikube";"2020-05-19 21:16:20";null
"liveness-http on minikube";"2020-05-19 21:16:25";null
"liveness-http on minikube";"2020-05-19 21:16:30";null
"liveness-http on minikube";"2020-05-19 21:16:35";null
"liveness-http on minikube";"2020-05-19 21:16:40";null
"liveness-http on minikube";"2020-05-19 21:16:45";null
"liveness-http on minikube";"2020-05-19 21:16:50";null
"liveness-http on minikube";"2020-05-19 21:16:55";null
"liveness-http on minikube";"2020-05-19 21:17:00";null
"liveness-http on minikube";"2020-05-19 21:17:05";null
"liveness-http on minikube";"2020-05-19 21:17:10";null
"liveness-http on minikube";"2020-05-19 21:17:15";null
"liveness-http on minikube";"2020-05-19 21:17:20";null
"liveness-http on minikube";"2020-05-19 21:17:25";null
"liveness-http on minikube";"2020-05-19 21:17:30";null
"liveness-http on minikube";"2020-05-19 21:17:35";null
"liveness-http on minikube";"2020-05-19 21:17:40";null
"liveness-http on minikube";"2020-05-19 21:17:45";null
"liveness-http on minikube";"2020-05-19 21:17:50";null
"liveness-http on minikube";"2020-05-19 21:17:55";null
"liveness-http on minikube";"2020-05-19 21:18:00";null
"liveness-http on minikube";"2020-05-19 21:18:05";null
"liveness-http on minikube";"2020-05-19 21:18:10";null
"liveness-http on minikube";"2020-05-19 21:18:15";null
"liveness-http on minikube";"2020-05-19 21:18:20";null
"liveness-http on minikube";"2020-05-19 21:18:25";null
"liveness-http on minikube";"2020-05-19 21:18:30";null
"liveness-http on minikube";"2020-05-19 21:18:35";null
"liveness-http on minikube";"2020-05-19 21:18:40";null
"liveness-http on minikube";"2020-05-19 21:18:45";null
"liveness-http on minikube";"2020-05-19 21:18:50";null
"liveness-http on minikube";"2020-05-19 21:18:55";null
"liveness-http on minikube";"2020-05-19 21:19:00";null
"liveness-http on minikube";"2020-05-19 21:19:05";null
"liveness-http on minikube";"2020-05-19 21:19:10";null
"liveness-http on minikube";"2020-05-19 21:19:15";null
"liveness-http on minikube";"2020-05-19 21:19:20";null
"liveness-http on minikube";"2020-05-19 21:19:25";null
"liveness-http on minikube";"2020-05-19 21:19:30";null
"liveness-http on minikube";"2020-05-19 21:19:35";null
"liveness-http on minikube";"2020-05-19 21:19:40";null
"liveness-http on minikube";"2020-05-19 21:19:45";null
"liveness-http on minikube";"2020-05-19 21:19:50";null
"liveness-http on minikube";"2020-05-19 21:19:55";null
"liveness-http on minikube";"2020-05-19 21:20:00";null
"liveness-http on minikube";"2020-05-19 21:20:05";null
"liveness-http on minikube";"2020-05-19 21:20:10";null
"liveness-http on minikube";"2020-05-19 21:20:15";null
"liveness-http on minikube";"2020-05-19 21:20:20";null
"liveness-http on minikube";"2020-05-19 21:20:25";null
"liveness-http on minikube";"2020-05-19 21:20:30";null
"liveness-http on minikube";"2020-05-19 21:20:35";null
"liveness-http on minikube";"2020-05-19 21:20:40";null
"liveness-http on minikube";"2020-05-19 21:20:45";null
"liveness-http on minikube";"2020-05-19 21:20:50";null
"liveness-http on minikube";"2020-05-19 21:20:55";null
"liveness-http on minikube";"2020-05-19 21:21:00";null
"liveness-http on minikube";"2020-05-19 21:21:05";null
"liveness-http on minikube";"2020-05-19 21:21:10";null
"liveness-http on minikube";"2020-05-19 21:21:15";null
"liveness-http on minikube";"2020-05-19 21:21:20";null
"liveness-http on minikube";"2020-05-19 21:21:25";null
"liveness-http on minikube";"2020-05-19 21:21:30";null
"liveness-http on minikube";"2020-05-19 21:21:35";null
"liveness-http on minikube";"2020-05-19 21:21:40";null
"liveness-http on minikube";"2020-05-19 21:21:45";null
"liveness-http on minikube";"2020-05-19 21:21:50";null
"liveness-http on minikube";"2020-05-19 21:21:55";null
"liveness-http on minikube";"2020-05-19 21:22:00";null
"liveness-http on minikube";"2020-05-19 21:22:05";null
"liveness-http on minikube";"2020-05-19 21:22:10";null
"liveness-http on minikube";"2020-05-19 21:22:15";null
"liveness-http on minikube";"2020-05-19 21:22:20";null
"liveness-http on minikube";"2020-05-19 21:22:25";null
"liveness-http on minikube";"2020-05-19 21:22:30";null
"liveness-http on minikube";"2020-05-19 21:22:35";null
"liveness-http on minikube";"2020-05-19 21:22:40";null
"liveness-http on minikube";"2020-05-19 21:22:45";null
"liveness-http on minikube";"2020-05-19 21:22:50";null
"liveness-http on minikube";"2020-05-19 21:22:55";null
"liveness-http on minikube";"2020-05-19 21:23:00";null
"liveness-http on minikube";"2020-05-19 21:23:05";null
"liveness-http on minikube";"2020-05-19 21:23:10";null
"liveness-http on minikube";"2020-05-19 21:23:15";null
"liveness-http on minikube";"2020-05-19 21:23:20";null
"liveness-http on minikube";"2020-05-19 21:23:25";null
"liveness-http on minikube";"2020-05-19 21:23:30";null
"liveness-http on minikube";"2020-05-19 21:23:35";null
"liveness-http on minikube";"2020-05-19 21:23:40";null
"liveness-http on minikube";"2020-05-19 21:23:45";null
"liveness-http on minikube";"2020-05-19 21:23:50";null
"liveness-http on minikube";"2020-05-19 21:23:55";null
"liveness-http on minikube";"2020-05-19 21:24:00";null
"liveness-http on minikube";"2020-05-19 21:24:05";null
"liveness-http on minikube";"2020-05-19 21:24:10";null
"liveness-http on minikube";"2020-05-19 21:24:15";null
"liveness-http on minikube";"2020-05-19 21:24:20";null
"liveness-http on minikube";"2020-05-19 21:24:25";null
"liveness-http on minikube";"2020-05-19 21:24:30";null
